"cell_line","treatment","design","time","concentration","cell_count__time0","dead_count__time0","cell_count","dead_count","cell_count__ctrl","dead_count__ctrl"
"cell_line_TT","drug_SS",1,3,0.01,1197.70779220779,296.253246753247,6700,519,5425.3,495.3
"cell_line_TT","drug_WW",1,3,0,1197.70779220779,296.253246753247,5455,504,5425.3,495.3
"cell_line_TT","drug_L",1,3,10,1197.70779220779,296.253246753247,425,775,5425.3,495.3
"cell_line_TT","drug_L",1,3,3.1623,1197.70779220779,296.253246753247,1761,468,5425.3,495.3
"cell_line_TT","drug_L",1,3,1,1197.70779220779,296.253246753247,4396,515,5425.3,495.3
"cell_line_TT","drug_L",1,3,0.31623,1197.70779220779,296.253246753247,7192,524,5425.3,495.3
"cell_line_TT","drug_L",1,3,0.1,1197.70779220779,296.253246753247,6826,532,5425.3,495.3
"cell_line_TT","drug_L",1,3,0.031623,1197.70779220779,296.253246753247,6626,482,5425.3,495.3
"cell_line_TT","drug_L",1,3,0.01,1197.70779220779,296.253246753247,5498,477,5425.3,495.3
"cell_line_TT","drug_L",1,3,0.0031623,1197.70779220779,296.253246753247,6176,535,5425.3,495.3
"cell_line_TT","drug_L",1,3,0.001,1197.70779220779,296.253246753247,5930,502,5425.3,495.3
"cell_line_TT","drug_M",1,3,0.01,1197.70779220779,296.253246753247,4525,422,5425.3,495.3
"cell_line_TT","drug_A",1,3,1,1197.70779220779,296.253246753247,189,1241,5425.3,495.3
"cell_line_TT","drug_AA",1,3,1,1197.70779220779,296.253246753247,4618,653,5425.3,495.3
"cell_line_TT","drug_AA",1,3,0.31623,1197.70779220779,296.253246753247,4268,646,5425.3,495.3
"cell_line_TT","drug_AA",1,3,0.1,1197.70779220779,296.253246753247,3443,599,5425.3,495.3
"cell_line_TT","drug_AA",1,3,0.031623,1197.70779220779,296.253246753247,4581,635,5425.3,495.3
"cell_line_TT","drug_AA",1,3,0.01,1197.70779220779,296.253246753247,4353,619,5425.3,495.3
"cell_line_TT","drug_AA",1,3,0.0031623,1197.70779220779,296.253246753247,5128,631,5425.3,495.3
"cell_line_TT","drug_AA",1,3,0.001,1197.70779220779,296.253246753247,5263,644,5425.3,495.3
"cell_line_TT","drug_AA",1,3,0.00031623,1197.70779220779,296.253246753247,5974,517,5425.3,495.3
"cell_line_TT","drug_AA",1,3,1e-04,1197.70779220779,296.253246753247,5327,578,5425.3,495.3
"cell_line_TT","drug_SS",1,3,0.0031623,1197.70779220779,296.253246753247,6149,518,5425.3,495.3
"cell_line_TT","drug_A",1,3,1,1197.70779220779,296.253246753247,224,1266,5425.3,495.3
"cell_line_TT","drug_NN",1,3,1,1197.70779220779,296.253246753247,791,973,5425.3,495.3
"cell_line_TT","drug_NN",1,3,0.31623,1197.70779220779,296.253246753247,712,929,5425.3,495.3
"cell_line_TT","drug_NN",1,3,0.1,1197.70779220779,296.253246753247,853,931,5425.3,495.3
"cell_line_TT","drug_NN",1,3,0.031623,1197.70779220779,296.253246753247,1098,842,5425.3,495.3
"cell_line_TT","drug_NN",1,3,0.01,1197.70779220779,296.253246753247,2806,781,5425.3,495.3
"cell_line_TT","drug_NN",1,3,0.0031623,1197.70779220779,296.253246753247,5846,521,5425.3,495.3
"cell_line_TT","drug_NN",1,3,0.001,1197.70779220779,296.253246753247,7105,542,5425.3,495.3
"cell_line_TT","drug_NN",1,3,0.00031623,1197.70779220779,296.253246753247,5169,546,5425.3,495.3
"cell_line_TT","drug_NN",1,3,1e-04,1197.70779220779,296.253246753247,5975,553,5425.3,495.3
"cell_line_TT","drug_M",1,3,0.0031623,1197.70779220779,296.253246753247,4977,457,5425.3,495.3
